state,city,latitude,longitude                                                                                                 
AL,Edgewater CDP,33.530099,-86.95279
AL,Edwardsville town,33.88374,-85.414124
AL,Egypt CDP,34.075938,-86.165054
AL,Elba city,31.417218,-86.077115
AL,Elberta town,30.373753,-87.595729
AL,Eldridge town,33.922018,-87.620108
AL,Elkmont town,34.932604,-86.976971
AL,Elmore town,32.556606,-86.341025
AL,Emelle town,32.728678,-88.316486
AL,Emerald Mountain CDP,32.447694,-86.094381
AL,Enterprise city,31.326898,-85.844021
AL,Epes town,32.695049,-88.141963
AL,Equality CDP,32.765659,-86.123185
AL,Ethelsville town,33.414066,-88.216093
AL,Eufaula city,31.909937,-85.152709
AL,Eunola CDP,31.031391,-85.833966
AL,Eutaw town,32.846247,-87.900332
AL,Eva town,34.326504,-86.765318
AL,Evergreen city,31.433216,-86.976081
AL,Excel town,31.426386,-87.343663
AL,Fairfield city,33.474778,-86.919413
AL,Fairford CDP,31.178002,-88.072784
AL,Fairhope city,30.52092,-87.879122
AL,Fairview town,34.250195,-86.677724
AL,Falkville town,34.377019,-86.909547
AL,Faunsdale town,32.457614,-87.593789
AL,Fayette city,33.694215,-87.831169
AL,Fayetteville CDP,33.168097,-86.442774
AL,Fitzpatrick CDP,32.210377,-85.873693
AL,Five Points town,33.017311,-85.351592
AL,Flomaton town,31.014816,-87.256016
AL,Florala town,31.022391,-86.318152
AL,Florence city,34.830323,-87.666139
AL,Foley city,30.397009,-87.664211
AL,Forestdale CDP,33.573701,-86.900047
AL,Forkland town,32.647435,-87.867436
AL,Fort Deposit town,31.986261,-86.566359
AL,Fort Payne city,34.457329,-85.689447
AL,Fort Rucker CDP,31.342576,-85.716072
AL,Franklin town,32.452693,-85.78541
AL,Fredonia CDP,32.983577,-85.292306
AL,Frisco City town,31.439485,-87.404182
AL,Fruitdale CDP,31.34979,-88.410937
AL,Fruithurst town,33.729539,-85.431249
AL,Fulton town,31.790989,-87.744212
AL,Fultondale city,33.617363,-86.801436
AL,Fyffe town,34.448957,-85.905167
AL,Gadsden city,34.006597,-86.016078
AL,Gainesville town,32.814934,-88.160791
AL,Gallant CDP,34.001318,-86.230171
AL,Gantt town,31.41074,-86.483524
AL,Garden City town,34.014688,-86.749054
AL,Gardendale city,33.676587,-86.809844
AL,Gaylesville town,34.267444,-85.561248
AL,Geiger town,32.868715,-88.318154
AL,Geneva city,31.044886,-85.876818
AL,Georgiana town,31.639134,-86.746762
AL,Geraldine town,34.359087,-86.002579
AL,Gilbertown town,31.866247,-88.307545
AL,Glen Allen town,33.892108,-87.732682
AL,Glencoe city,33.948339,-85.933606
AL,Glenwood town,31.671266,-86.173687
AL,Goldville town,33.084867,-85.777982
AL,Good Hope city,34.110689,-86.867104
AL,Goodwater town,33.060713,-86.052486
AL,Gordo town,33.322286,-87.903681
AL,Gordon town,31.143606,-85.092504
AL,Gordonville town,32.159179,-86.704235
AL,Goshen town,31.720015,-86.123245
AL,Graham CDP,33.455191,-85.323085
AL,Grand Bay CDP,30.472082,-88.344401
AL,Grant town,34.518173,-86.26043
AL,Grayson Valley CDP,33.64662,-86.641655
AL,Graysville city,33.633756,-86.941398
AL,Greensboro city,32.700968,-87.5937
AL,Greenville city,31.843072,-86.636951
AL,Grimes town,31.299869,-85.45029
AL,Grove Hill town,31.69867,-87.772868
AL,Guin city,33.98322,-87.902363
AL,Gulfcrest CDP,30.991106,-88.242231
AL,Gulf Shores city,30.275837,-87.701258
AL,Guntersville city,34.367947,-86.252323
AL,Gurley town,34.702471,-86.37433
AL,Gu-Win town,33.94433,-87.870376
AL,Hackleburg town,34.269355,-87.830402
AL,Hackneyville CDP,33.054654,-85.934423
AL,Haleburg town,31.409976,-85.138068
AL,Haleyville city,34.233832,-87.617574
AL,Hamilton city,34.138713,-87.970833
AL,Hammondville town,34.566232,-85.640348
AL,Hanceville city,34.06401,-86.764436
AL,Hanover CDP,33.002922,-86.200931
AL,Harpersville town,33.317725,-86.428431
AL,Hartford city,31.105348,-85.691225
AL,Hartselle city,34.440434,-86.940364
AL,Harvest CDP,34.85507,-86.758643
AL,Hatton CDP,34.560671,-87.413835
AL,Hayden town,33.894514,-86.744224
AL,Hayneville town,32.182595,-86.578588
AL,Hazel Green CDP,34.923656,-86.567392
AL,Headland city,31.354974,-85.357031
AL,Heath town,31.344839,-86.46905
AL,Heflin city,33.6474,-85.569339
AL,Helena city,33.283424,-86.879177
AL,Henagar city,34.630641,-85.730918
AL,Highland Lake town,33.894586,-86.422553
AL,Highland Lakes CDP,33.397611,-86.64792
AL,Hillsboro town,34.642586,-87.178489
AL,Hissop CDP,32.890568,-86.129601
AL,Hobson CDP,31.488725,-88.150928
AL,Hobson City town,33.618801,-85.846146
AL,Hodges town,34.334246,-87.92316
AL,Hokes Bluff city,33.989682,-85.862873
AL,Hollins CDP,33.121757,-86.126967
AL,Hollis Crossroads CDP,33.531333,-85.652862
AL,Holly Pond town,34.167686,-86.612067
AL,Hollywood town,34.717279,-85.965579
AL,Holt CDP,33.229745,-87.482894
AL,Holtville CDP,32.630299,-86.328004
AL,Homewood city,33.45855,-86.80965
AL,Hoover city,33.376949,-86.805579
AL,Horn Hill town,31.238137,-86.325163
AL,Hueytown city,33.408604,-87.016565
AL,Huguley CDP,32.843062,-85.239635
AL,Huntsville city,34.782275,-86.532599
AL,Hurtsboro town,32.24009,-85.41467
AL,Hytop town,34.896635,-86.089176
AL,Ider town,34.702599,-85.668958
AL,Indian Springs Village city,33.361209,-86.746856
AL,Irondale city,33.539914,-86.659082
AL,Ivalee CDP,34.037204,-86.147182
AL,Jackson city,31.532321,-87.891183
AL,Jacksons' Gap town,32.884019,-85.815046
AL,Jacksonville city,33.810066,-85.755217
AL,Jasper city,33.856035,-87.270268
AL,Jemison city,32.970705,-86.73307
AL,Joppa CDP,34.29955,-86.549946
AL,Kansas town,33.902808,-87.556598
AL,Kellyton town,32.979188,-86.034608
AL,Kennedy town,33.580717,-87.985488
AL,Killen town,34.860954,-87.529346
AL,Kimberly city,33.780312,-86.800593
AL,Kinsey town,31.296269,-85.334994
AL,Kinston town,31.219604,-86.170075
AL,Ladonia CDP,32.459709,-85.090423
AL,La Fayette city,32.899427,-85.400795
AL,Lakeview town,34.391675,-85.975573
AL,Lake View town,33.288266,-87.132653
AL,Lanett city,32.857768,-85.207761
AL,Langston town,34.545063,-86.09335
AL,Leeds city,33.546847,-86.571448
AL,Leesburg town,34.178627,-85.777897
AL,Leighton town,34.69368,-87.524282
AL,Leroy CDP,31.494971,-87.972773
AL,Lester town,34.982751,-87.155534
AL,Level Plains town,31.307124,-85.768722
AL,Lexington town,34.959351,-87.37283
AL,Libertyville town,31.24005,-86.456955
AL,Lillian CDP,30.418904,-87.420751
AL,Lincoln city,33.580169,-86.127876
AL,Linden city,32.30136,-87.792583
AL,Lineville city,33.312832,-85.752278
AL,Lipscomb city,33.426005,-86.926103
AL,Lisman town,32.171729,-88.284092
AL,Littleville town,34.595132,-87.670739
AL,Livingston city,32.595549,-88.186929
AL,Loachapoka town,32.607946,-85.598479
AL,Lockhart town,31.013011,-86.350273
AL,Locust Fork town,33.876794,-86.647093
AL,Lookout Mountain CDP,34.115916,-85.965464
AL,Louisville town,31.781047,-85.558336
AL,Lowndesboro town,32.276422,-86.610848
AL,Loxley town,30.684588,-87.739213
AL,Luverne city,31.718941,-86.269082
AL,Lynn town,34.057591,-87.548643
AL,McCalla CDP,33.303112,-87.02666
AL,McDonald Chapel CDP,33.518576,-86.938462
AL,Macedonia CDP,33.403139,-88.239221
AL,McIntosh town,31.264957,-88.028369
AL,McKenzie town,31.54647,-86.725954
AL,McMullen town,33.1481,-88.175749
AL,Madison city,34.710533,-86.76228
AL,Madrid town,31.035635,-85.399205
AL,Magnolia Springs town,30.40341,-87.775895
AL,Malcolm CDP,31.198697,-88.001065
AL,Malvern town,31.143698,-85.522973
AL,Maplesville town,32.784391,-86.879694
AL,Marbury CDP,32.672984,-86.463728
AL,Margaret town,33.67284,-86.463942
AL,Marion city,32.631968,-87.317333
AL,Maytown town,33.549954,-87.000043
AL,Meadowbrook CDP,33.395235,-86.704373
AL,Megargel CDP,31.378141,-87.430649
AL,Memphis town,33.137044,-88.305942
AL,Mentone town,34.563209,-85.589704
AL,Meridianville CDP,34.874913,-86.580559
AL,Midfield city,33.45527,-86.922411
AL,Midland City town,31.315675,-85.493674
AL,Midway town,32.076373,-85.524417
AL,Mignon CDP,33.18658,-86.256886
AL,Millbrook city,32.501474,-86.373914
AL,Millerville CDP,33.191458,-85.929828
AL,Millport town,33.555935,-88.082382
AL,Millry town,31.621199,-88.327956
AL,Minor CDP,33.539011,-86.940073
AL,Mobile city,30.668426,-88.100226
AL,Monroeville city,31.516223,-87.327714
AL,Montevallo city,33.126053,-86.847702
AL,Montgomery city,32.348503,-86.267307
AL,Moody city,33.603429,-86.493786
AL,Moores Mill CDP,34.852143,-86.52038
AL,Mooresville town,34.625883,-86.880025
AL,Morris town,33.746223,-86.800755
AL,Morrison Crossroads CDP,33.417996,-85.488284
AL,Mosses town,32.188758,-86.679435
AL,Moulton city,34.488302,-87.282707
AL,Moundville town,32.996542,-87.627545
AL,Mountain Brook city,33.491488,-86.73447
AL,Mount Olive CDP,33.078454,-86.13304
AL,Mount Olive CDP,33.669286,-86.87549
AL,Mount Vernon town,31.087727,-88.013166
AL,Movico CDP,31.062763,-88.026619
AL,Mulga town,33.554903,-86.971309
AL,Munford town,33.526208,-85.956225
AL,Muscle Shoals city,34.74317,-87.633761
AL,Myrtlewood town,32.252088,-87.949261
AL,Nanafalia CDP,32.111393,-87.995757
AL,Nances Creek CDP,33.855501,-85.669104
AL,Napier Field town,31.314917,-85.454962
AL,Natural Bridge town,34.090354,-87.601409
AL,Nauvoo town,33.984386,-87.48544
AL,Nectar town,33.979779,-86.620614
AL,Needham town,31.987,-88.336563
AL,Newbern town,32.591672,-87.535614
AL,New Brockton town,31.37671,-85.919028
AL,New Hope city,34.537972,-86.412372
AL,New Market CDP,34.892335,-86.425818
AL,New Site town,33.026041,-85.784536
AL,Newton town,31.341229,-85.588307
AL,New Union CDP,34.133682,-86.228002
AL,Newville town,31.420604,-85.33669
AL,Nixburg CDP,32.855488,-86.100838
AL,North Courtland town,34.680023,-87.305717
AL,North Johns town,33.367769,-87.100725
AL,Northport city,33.257565,-87.596396
AL,Notasulga town,32.555409,-85.668577
AL,Oak Grove town,33.190359,-86.303727
AL,Oak Hill town,31.92162,-87.085234
AL,Oakman town,33.714322,-87.388699
AL,Odenville city,33.700875,-86.423371
AL,Ohatchee town,33.789759,-86.029062
AL,Oneonta city,33.947038,-86.489793
AL,Onycha town,31.225693,-86.276024
AL,Opelika city,32.660739,-85.37889
AL,Opp city,31.284375,-86.257442
AL,Orange Beach city,30.293987,-87.595371
AL,Orrville town,32.306769,-87.245447
AL,Our Town CDP,32.842211,-85.967035
AL,Owens Cross Roads town,34.585458,-86.455027
AL,Oxford city,33.597366,-85.868132
AL,Ozark city,31.451615,-85.645035
AL,Paint Rock town,34.660934,-86.333952
AL,Panola CDP,32.946819,-88.262266
AL,Parrish town,33.732321,-87.280127
AL,Pea Ridge CDP,33.133805,-86.937949
AL,Pelham city,33.32183,-86.742197
AL,Pell City city,33.560312,-86.263634
AL,Pennington town,32.200612,-88.037572
AL,Penton CDP,33.009832,-85.474824
AL,Perdido CDP,31.005692,-87.630112
AL,Perdido Beach town,30.353879,-87.5048
AL,Peterman CDP,31.583669,-87.263042
AL,Petrey town,31.85216,-86.204007
AL,Phenix City city,32.461669,-85.025021
AL,Phil Campbell town,34.351547,-87.707359
AL,Pickensville town,33.235782,-88.289443
AL,Piedmont city,33.927557,-85.615267
AL,Pike Road town,32.273609,-86.118927
AL,Pinckard town,31.318989,-85.537836
AL,Pine Apple town,31.872155,-86.989059
AL,Pine Hill town,31.985884,-87.587516
AL,Pine Level CDP,32.579539,-86.454318
AL,Pine Ridge town,34.447915,-85.783831
AL,Pinson city,33.709262,-86.663613
AL,Pisgah town,34.684366,-85.84601
AL,Pleasant Grove city,33.493969,-86.978145
AL,Pleasant Groves town,34.737619,-86.197637
AL,Point Clear CDP,30.486112,-87.911132
AL,Pollard town,31.023877,-87.172978
AL,Powell town,34.532588,-85.897553
AL,Prattville city,32.449042,-86.449401
AL,Priceville town,34.529583,-86.882177
AL,Prichard city,30.773337,-88.131416
AL,Providence town,32.342386,-87.776115
AL,Putnam CDP,32.018084,-88.033057
AL,Ragland town,33.748325,-86.135927
AL,Rainbow City city,33.928777,-86.084228
AL,Rainsville city,34.494364,-85.836505
AL,Ranburne town,33.525853,-85.339013
AL,Ray CDP,32.868141,-86.045252
AL,Red Bay city,34.436097,-88.136515
AL,Redland CDP,32.481426,-86.143759
AL,Red Level town,31.406711,-86.606217
AL,Redstone Arsenal CDP,34.687763,-86.661172
AL,Reece City town,34.077241,-86.034498
AL,Reeltown CDP,32.574211,-85.819562
AL,Reform town,33.378214,-88.017297
AL,Rehobeth town,31.124507,-85.439607
AL,Remlap CDP,33.806972,-86.593941
AL,Repton town,31.409716,-87.238931
AL,Ridgeville town,34.056929,-86.102874
AL,River Falls town,31.352397,-86.544609
AL,Riverside city,33.616394,-86.204357
AL,Riverview town,31.06126,-87.077531
AL,Roanoke city,33.145305,-85.369526
AL,Robertsdale city,30.557139,-87.704723
AL,Rock Creek CDP,33.477227,-87.081249
AL,Rockford town,32.896866,-86.208346
AL,Rock Mills CDP,33.15994,-85.28107
AL,Rockville CDP,31.405776,-87.844212
AL,Rogersville town,34.827714,-87.284092
AL,Rosa town,33.992756,-86.500325
AL,Russellville city,34.505719,-87.728123
AL,Rutledge town,31.724072,-86.302008
AL,St. Florian town,34.874098,-87.623736
AL,St. Stephens CDP,31.571111,-88.052834
AL,Saks CDP,33.711401,-85.853698
AL,Samson city,31.112417,-86.046735
AL,Sand Rock town,34.231228,-85.770416
AL,Sanford town,31.298819,-86.398848
AL,Saraland city,30.85401,-88.097202
AL,Sardis City town,34.172413,-86.119104
AL,Satsuma city,30.857874,-88.063383
AL,Scottsboro city,34.64462,-86.048155
AL,Section town,34.581644,-85.984942
AL,Selma city,32.416983,-87.035702
AL,Selmont-West Selmont CDP,32.378249,-87.006898
AL,Semmes city,30.822358,-88.220136
AL,Sheffield city,34.757028,-87.698183
AL,Shelby CDP,33.106882,-86.585403
AL,Shiloh town,34.462666,-85.877617
AL,Shoal Creek CDP,33.430763,-86.610925
AL,Shorter town,32.411509,-85.972756
AL,Silas town,31.767802,-88.325923
AL,Silverhill town,30.545359,-87.750557
AL,Sims Chapel CDP,31.249255,-88.142971
AL,Sipsey town,33.822119,-87.082918
AL,Skyline town,34.798524,-86.12243
AL,Slocomb city,31.112126,-85.59866
AL,Smiths Station city,32.507159,-85.081075
AL,Smoke Rise CDP,33.879942,-86.824683
AL,Snead town,34.115755,-86.390122
AL,Somerville town,34.467053,-86.791203
AL,Southside city,33.890841,-86.01802
AL,South Vinemont town,34.235567,-86.863965
AL,Spanish Fort city,30.722968,-87.865917
AL,Spring Garden CDP,33.972965,-85.555756
AL,Springville city,33.74052,-86.484086
AL,Spruce Pine CDP,34.39287,-87.729597
AL,Standing Rock CDP,33.08569,-85.239849
AL,Stapleton CDP,30.735558,-87.797727
AL,Steele town,33.941378,-86.192107
AL,Sterrett CDP,33.442198,-86.461045
AL,Stevenson city,34.876797,-85.81435
AL,Stewartville CDP,33.075532,-86.260693
AL,Stockton CDP,31.001245,-87.873929
AL,Sulligent city,33.891189,-88.126633
AL,Sumiton city,33.749269,-87.046903
AL,Summerdale town,30.476741,-87.687561
AL,Susan Moore town,34.091999,-86.434156
AL,Sweet Water town,32.104614,-87.861889
AL,Sylacauga city,33.18867,-86.274799
AL,Sylvania town,34.562039,-85.804722
AL,Sylvan Springs town,33.53023,-87.031197
AL,Talladega city,33.431757,-86.099454
AL,Talladega Springs town,33.120452,-86.437761
AL,Tallassee city,32.532665,-85.891993
AL,Tarrant city,33.592897,-86.766253
AL,Taylor town,31.168811,-85.47579
AL,Theodore CDP,30.538686,-88.187573
AL,Thomaston town,32.268277,-87.623706
AL,Thomasville city,31.910455,-87.743024
AL,Thorsby town,32.916909,-86.720335
AL,Tibbie CDP,31.37049,-88.243862
AL,Tidmore Bend CDP,34.033184,-85.926387
AL,Tillmans Corner CDP,30.581533,-88.21278
AL,Town Creek town,34.671301,-87.407763
AL,Toxey town,31.910712,-88.309146
AL,Trafford town,33.818713,-86.746502
AL,Triana town,34.587779,-86.748488
AL,Trinity town,34.597445,-87.081354
AL,Troy city,31.80196,-85.96713
AL,Trussville city,33.655233,-86.563239
AL,Tuscaloosa city,33.234404,-87.5283
AL,Tuscumbia city,34.718502,-87.702586
AL,Tuskegee city,32.418723,-85.682509
AL,Twin town,33.992314,-87.852295
AL,Underwood-Petersville CDP,34.876112,-87.698157
AL,Union town,32.99381,-87.907179
AL,Union Grove town,34.406172,-86.451667
AL,Union Springs city,32.139506,-85.714623
AL,Uniontown town,32.44662,-87.487271
AL,Uriah CDP,31.307365,-87.499213
AL,Valley city,32.801427,-85.204438
AL,Valley Grande city,32.486872,-87.032773
AL,Valley Head town,34.556204,-85.623044
AL,Vance town,33.173992,-87.226627
AL,Vandiver CDP,33.458856,-86.529222
AL,Vernon city,33.758816,-88.114291
AL,Vestavia Hills city,33.462496,-86.739508
AL,Vina town,34.376175,-88.060572
AL,Vincent town,33.383145,-86.402544
AL,Vinegar Bend CDP,31.259093,-88.367264
AL,Vredenburgh town,31.823234,-87.318077
AL,Wadley town,33.1234,-85.568592
AL,Waldo town,33.387083,-86.041075
AL,Walnut Grove town,34.064595,-86.28717
AL,Warrior city,33.814858,-86.81565
AL,Waterloo town,34.917199,-88.064373
AL,Waverly town,32.730078,-85.570999
AL,Weaver city,33.75907,-85.809363
AL,Webb town,31.257237,-85.289622
AL,Wedowee town,33.308004,-85.4865
AL,Weogufka CDP,33.021724,-86.309146
AL,West Blocton town,33.118176,-87.125225
AL,West End-Cobb Town CDP,33.651481,-85.876553
AL,West Jefferson town,33.666515,-87.047035
AL,Westover town,33.36734,-86.533986
AL,West Point town,34.238735,-86.964017
AL,Wetumpka city,32.540376,-86.206999
AL,Whatley CDP,31.646343,-87.710836
AL,White Hall town,32.297411,-86.715776
AL,White Plains CDP,33.759312,-85.68847
AL,Whitesboro CDP,34.169004,-86.058499
AL,Wilsonville town,33.240752,-86.491105
AL,Wilton town,33.081565,-86.879655
AL,Winfield city,33.934717,-87.79131
AL,Woodland town,33.375627,-85.397439
AL,Woodstock town,33.217498,-87.148433
AL,Woodville town,34.629576,-86.283461
AL,Yellow Bluff town,31.962341,-87.477359
AL,York city,32.500586,-88.291394
AK,Adak city,51.909889,-176.598067
AK,Akhiok city,56.948329,-154.215306
AK,Akiachak CDP,60.920984,-161.402087
AK,Akiak city,60.909445,-161.216002
AK,Akutan city,54.139979,-165.763026
AK,Alakanuk city,62.710997,-164.649719
AK,Alatna CDP,66.563794,-152.838498
AK,Alcan Border CDP,62.703078,-141.193584
AK,Aleknagik city,59.288961,-158.664343
AK,Aleneva CDP,58.059052,-152.909015
AK,Allakaket city,66.542002,-152.583016
AK,Ambler city,67.090944,-157.887097
AK,Anaktuvuk Pass city,68.149752,-151.697066
AK,Anchorage municipality,61.17425,-149.284329
AK,Anchor Point CDP,59.747364,-151.695697
AK,Anderson city,64.308281,-149.163187
AK,Angoon city,57.441257,-134.478357
AK,Aniak city,61.578825,-159.547427
AK,Anvik city,62.631627,-160.215106
AK,Arctic Village CDP,68.165374,-145.401362
AK,Atka city,52.211546,-174.213452
AK,Atmautluak CDP,60.862755,-162.280302
AK,Atqasuk city,70.480786,-157.325459
AK,Attu Station CDP,52.880248,173.256076
AK,Badger CDP,64.800081,-147.385129
AK,Bear Creek CDP,60.20806,-149.369779
AK,Beaver CDP,66.384745,-147.287756
AK,Beluga CDP,61.190862,-151.184237
AK,Bethel city,60.793905,-161.796322
AK,Bettles city,66.906901,-151.537994
AK,Big Delta CDP,64.157047,-145.740874
AK,Big Lake CDP,61.515547,-149.97553
AK,Birch Creek CDP,66.268327,-145.876583
AK,Brevig Mission city,65.343196,-166.508946
AK,Buckland city,65.976489,-161.139436
AK,Buffalo Soapstone CDP,61.684439,-149.121172
AK,Butte CDP,61.534033,-148.988168
AK,Cantwell CDP,63.411396,-148.749621
AK,Central CDP,65.509073,-144.620508
AK,Chalkyitsik CDP,66.646753,-143.789298
AK,Chase CDP,62.418236,-149.936172
AK,Chefornak city,60.151845,-164.251542
AK,Chena Ridge CDP,64.794305,-148.032883
AK,Chenega CDP,60.092096,-147.99458
AK,Chevak city,61.52956,-165.594126
AK,Chickaloon CDP,61.815283,-148.291957
AK,Chicken CDP,64.087691,-141.828278
AK,Chignik city,56.29518,-158.391784
AK,Chignik Lagoon CDP,56.304267,-158.500259
AK,Chignik Lake CDP,56.273221,-158.793376
AK,Chiniak CDP,57.575497,-152.279033
AK,Chisana CDP,62.110039,-142.050549
AK,Chistochina CDP,62.596444,-144.941045
AK,Chitina CDP,61.553038,-144.175268
AK,Chuathbaluk city,61.573909,-159.247015
AK,Circle CDP,65.838617,-144.175331
AK,Clam Gulch CDP,60.208887,-151.404203
AK,Clark's Point city,58.832992,-158.527347
AK,Coffman Cove city,56.001661,-132.841966
